9680764364|2015-10-19T08:41:12+0000
I haven t seen such a pathetic service of bank like hdfc your reps are calling my house to apply for credit cards like 12 times in a day when I told them not to they started acting rude moreover when I tried reaching ivr I got hung up moreover the tollfree no chargede 5rs everytime I ll report this attitude to BBB and cosumer complaints|2015-10-19T08:12:15+0000
Whenever a change in address, email ID or mobile no. is updated the bank shd send sms and mail to OLD as well as NEW mobile no. and email ID.|2015-10-19T07:37:06+0000
HDFC Bank Jasola Branch 110025 rejects MTNL bill as KYC for POR.   HDFC Bank Jasola Branch 110025 rejects MTNL bill as KYC for POR. Account is old account . Want aadhar or passport . When aadhar and passport both use MTNL bill as valid POR why the HDFC rejecting the same . What does RBI ruling say.|2015-10-19T07:35:00+0000
Hi pleas give me number hdfc bank calicut|2015-10-19T06:57:43+0000
Worst Banking Services|2015-10-19T05:43:11+0000
HI, Is payzapp available for windows phone?|2015-10-19T05:24:50+0000
PATHETIC SERVICE,  I have deposited a cheque on 16th October around 10:30 am  and the amazing thing is that my cheque is untraceable now there is no status with HDFC officials of cheque.  Cheque was LOCAL HDFC cheque which must be cleared within same day day or next day, but it is not processed yet if processed then why the Bank has no status of same.  There are charges for every delayed or failure for customer why not for the bank.  Kindly check and update me the status of my cheque on priority basis.  Cheque no 004139.HDFC Local checque Deposit branch_ HDFC BANK LTD H 4 MAIN ROAD MAHIPALPUR DELHI 110037.  I have met with Mr. Arush in branch today morning he is giving me illogical excuse that wee have sent the cheque for clearance and will update the status if it return by any reason.  My question is that if the cheque has been forwarded for clearance than status of same must be updated by the team to whom check was forwarded.  Kindly revert immediately.  Regards Mudassir Ahmed  Mob#   8376802767|2015-10-19T05:04:13+0000
Dear HDFC,  Please note that i applied for HDFC Credit Card on 06/10/2015 and got Reference No: 15100519293300S2. I got all verification done at my office. I got multiple calls at for verification too and your representatives informed that the card will be approved.   Today got checked in HDFC Link showing track your card application. Found the reason as follows.  Application Reference Number  15100519293300S2 Status  DISAPPROVED Remarks  DISAPPROVAL OF THE CREDIT CARD APPLICATION DOES NOT REFLECT IN ANYWAY ON YOUR CREDIT STANDING OR YOUR FINANCIAL STABILITY  where in none of your representatives took up the initiative to call and inform why it got disapproved. (2nd time the same thing happening)    Dilip (09600141649) , executive called and we have given all papers and verification also done positively.   please be noted that this is the second time the same thing is happening and i was informed that i will be receiving a letter which never came even after 6 months.  Awaiting for a quick response.|2015-10-19T05:02:03+0000
Golden Heritage Spa Discount Coupon (2nd Floor Rkay Mall Udaipur) Pay For Just Rs.499 & Get 4 Service Free. Valid Till 31st July 2016 1.Get Full Body Massage (45Mints) Free 2.Get Full body Traditional Thai Massage (45 Mints)Free 3.Get Foot Massage Free 4.Get Head Massage Free  For More information about this Discount Coupon Call +919785053501|2015-10-18T17:07:50+0000
I called customer care for an inquiry of CC card. They got my basic details and told me "system is busy please wait for 1 min." I waited for 5 min, then CC executive again told me system is very busy please wait for 1 min. And he simply cut my phone. But before he disconnect I hear some one told him "are din bhar kitna call lega ? cut de drop main dikha dena."  Wow.. what a service from HDFC Bank.    Can any one from HDFC Bank management guide me if my card has been stolen  what should I do ? Call Custom Care for this wonderful service and let the thief enjoy my full balance.|2015-10-18T16:12:38+0000
Hi, Even after repeated reminders of return of money.Money of cancellation of air tickets is not yet received.I am highly dissatisfied with your services.|2015-10-18T12:46:47+0000
Hi, I have a 1000 sqft ground floor branch lease space availabe at Shastripuram, TEARS AGRA. Please contact me at 8800274359 if interested..|2015-10-18T06:38:14+0000
I want to close my salary A/C number 02801050070303. Kindly suggest how i will close it.|2015-10-18T06:16:55+0000
I am offering personal loans hdfc bank jaipur|2015-10-18T06:07:56+0000
Hi,  I am a user of your HDFC credit card from years and have generally been very satisfied with your level of services. For  current card 4617873001959284 I made a late payment for the month of August 2015 as I was shifting cities and had no access to internet for days. I contacted your customer team and on September 11 I received a reply from Kritika S. (Ref 15254373247) that these charges would be reversed in the October statement (Rs 500 + 411).  However to my utter surprise these charges were not showing reversed when my statement for the month of October was generated. I again contacted your customer care team and asked that when I was assured that these charges would be showing reversed in the October statement then why are they not showing so?  Twice I got the same reply from Murugan (Ref ID 15283184226 ) and Anthony (15285438285) that these charges would be reversed in the November statement. It seemed that a robot was answering to my emails without even reading my emails properly.  I have two questions for which I seek immediate answers from you  1) When I was assured that these charges will be reversed in the October statement by Kritika S on September 11 then why has the needful not been done? 2) Do you hire your customer care officials out of kindergarten. Who make spelling mistakes in emails (my name was spelt incorrectly in both emails) and cannot even comprehend basic emails? (reiterating that the charges would be reversed in the November statement instead of answering why were they not reversed in the October one as I was promised)  Abhishek Manroa 9873262673|2015-10-18T05:13:24+0000
Team engage4more partners  HDFC Bank in their brand new performing arts talent based contest 'HUNAR' . A PAN India turnkey Mandate includes conceptualisation, format creation and production. Great to see this wave of corporate belief in engaging employees around their passion. #hr #employeeengagement #india #performingarts pics from regional finale west. India finale follows.|2015-10-18T05:02:53+0000
Yesterday experienced another annoying situation with a HDFC Banker when he asked me for my PIN I have experienced a fraud done by a HDFC employee by doing a fraudulent transaction in past. It is getting difficult to trust their system now.|2015-10-18T02:37:38+0000
hi Dear, please find req data. query reference number for this e-mail: 15289513358 name :- Nikhil jain mob no :- 9303277855 hdfc debit card no:-XXXX XXXX XXXX 8850 Amazon.in order (#171-7517947-4283522) Nobody is responding properly and every time i am asking i am getting new reference no by Krithika.R Customer Service Officer HDFC Bank Ltd. , please let me know my cashback has been track or not,|2015-10-17T23:23:02+0000
I am trying to access net banking, and it says "this service is temporarily unavailable, please try later". Is net banking down or is it specific to my account|2015-10-17T20:15:18+0000
HDFC replaced my credit card but not merged with my existing account so that i can't monitor my transactions at our NetBank credit card section after logged into my NetBank site. And importantly I can't received statements. I several times given rings i mean called c Care but they never answered me even after long waiting and my mobile battery drained. This is the reality of our customer care. Is it's caring or hurting can't i understood. You can see my repayments history that i never failed but at this month i failed due to lacked awarded i never received emails from HDFC I monitor online and I maintained always. One more thing that HDFC send 6 digits otp to generate Atm pin and I can't generated when I put six digit pin at our atm not excepted. Please do need full on above mentioned two matters Nagesh Gokley +91 8986636898 nageshgokley@yahoo.co.in|2015-10-17T20:12:20+0000
Got pick pocketed at Delhi. Purse had debit and credit cards. Want to block the cards but all that I hear when I call the customer care number is that you guys don't recieve calls on 2nd and 4th Saturdays and bank holidays. As far as I know, today, Oct 17, 2015, is a 3rd Saturday.|2015-10-17T16:30:10+0000
Hi HDFC Bank  I am experiencing the worst customer service for past 15 days. I made a transaction of 19k's on Amazon on 11th August and it was confirmed 15% cashback. Your reps for 3 times told me that it would be credited to me in Oct statement and when I called them today, they said it would be there in Nov statement. Why is so much ambiguity amongst your people? Why can not they share an exact information with the customer? This is making me think to move to some other back . Its pathetic customer service I must say.  Thanks|2015-10-17T15:20:33+0000
happy birthday mr Deepak Parekh|2015-10-17T15:00:11+0000
Your credit card net banking are very user unfriendly. After creating log in id and all card details it shows that it already exists. Did for 15 and even for some less likely used names but still same result. Very unfortunate. I guess u guys need to learn smthng from the way now public sector banks are competing in this.|2015-10-17T14:14:54+0000
